Date,Company,Category,Aircraft,Location,Description
6/25/2015,360 Productions LLC,Photo/Film,"DJI Phantom 2, DJI Inspire 1",Maine,Aerial videography to enhance television productions and media quality.
3/3/2015,"3D Aerial Solutions, LLC",Agriculture,SenseFly eBee Mini,Ohio,Precision photogrammetry and crop scouting for precision agriculture
5/22/2015,4Rotor Filming LLC,Photo/Film,"Turbo Ace MATRIX-I, DJI Phantom 2, DJI Spreading Wings S900",Maine,Aerial videography and cinematography.
6/29/2015,9three Solutions Inc,Utilities/Energy/Infrastructure,Align M690,West Virginia,Inspections of mining facilities and inspections of oil and natural gas pipelines and components.
5/11/2015,AC Aerial Photography,Photo/Film,"DJI Phantom 2, Tarot 810",Ohio,Aerial videography and cinematography.
5/26/2015,"Accupoint, Inc",Construction,DJI S1000,Alaska,Aerial mapping and quantitative volume analysis.
6/23/2015,Adam Palitz,Real Estate,"DJI Phantom Vision +, DJI Phantom 3",California,Aerial photography and videography for real estate and other promotional purposes.
6/9/2015,Adam Winkle,Photo/Film,DJI Phantom 2 Vision +,Florida,Aerial photography to provide te community with new and picturesque representations of Fort Myers and its surroundings.
4/17/2015,"ADM Crop Risk Services, Inc.",Agriculture,"DJI Phantom 2 Vision+, Precision Hawk Lancaster Hawkeye Mk-III",Illinois,Operations to map crop acres and assess crop damage. (Amended 7/8/15)
5/5/2015,"Advanced Aerial Cinematography, LLC",Photo/Film,Cinestar 8,Georgia,"Aerial videography and photography for closed set filming for the motion picture, television, and commercial videography industry."
4/3/2015,"Advanced Aerial Inspection Resources, LLC",Utilities/Energy/Infrastructure,ASCTEC Falcon 8,Texas,Structural and conditional assessment of monopoles and towers.
1/6/2015,Advanced Aviation Solutions,Agriculture,SenseFly eBee,Washington,Precision agriculture.
6/23/2015,Advanced Robotics Corporation,"Education, Agriculture, Emergency Services, Conservation","Advanced Robotics AR−960, AR−540",Arizona,"Education and training, aerial survey/inspection and imaging, agricultural, forestry, wildlife preservation, law enforcement, and search and rescue."
6/16/2015,AECOM,Construction,Skycatch,Colorado,"Aerial photography, acquisition, and inspection of construction sites."
5/15/2015,Aerial Appeal,"Photo/Film, Real Estate","DJI F550, DJI Phantom 2, DJI S800 EVO, DJI Inspire",Texas,"Aerial filming and photography for coverage of events, enhanced real estate listings, and structural inspections."
6/8/2015,"Aerial Edge, Inc",Photo/Film,"Cinestar 8 (AE001, AE002, AE003, AE004)",Washington,Photography and filming commercial operations for use in the television and motion picture industry.
4/23/2015,Aerial Imaging Systems,"Photo/Film, Utilities/Energy/Infrastructure, Real Estate",DJI Phantom 2 Vision+,South Carolina,"Aerial photography and videography for the real estate, construction, and utilities industries."
6/8/2015,"Aerial Imaging Technologies LLC, dba Aeritek","Photo/Film, Agriculture","DJI S-900, 3D Robotics Aero-M",Florida,"Aerial photography, inspections, photogrammetry, precision agriculture, and mapping."
5/28/2015,"Aerial Impact Southeast, Inc.",Photo/Film,DJI Phantom 2 and DJI S900.,Georgia,Aerial photography and survey for various industries.
5/22/2015,"Aerial Impressions, LLC",Agriculture,"DJI Phantom 2, DJI S1000+.",Wisconsin,"Aerial photography, videography and land surveying."
4/27/2015,Aerial Industrial LLC,Utilities/Energy/Infrastructure,DJI Spreading Wings S-1000,Texas,"Aerial imaging and monitoring of secured and controlled environments. To inspect, photograph, and collect data on hard to get to areas that otherwise would require dangerous worker inspections."
5/5/2015,"Aerial Inspection Resources, Inc",Utilities/Energy/Infrastructure,DJI Spreading Wings S1000,Oregon,"Examination and monitoring of power lines, pipelines and related utility structures."
4/21/2015,"Aerial Intelligence HD, LLC","Agriculture, Utilities/Energy/Infrastructure",Turbo Ace Cinewing 6HL,Iowa,"Aerial surveying of remote or difficult-to-access facilities such as rural farms with low population density, silos/stacks, grain elevators, pipelines, power lines and cell towers, bridges, wind turbines. May use UAS operations in support of emergency response activities on behalf of The Department of Agriculture, The Department of the Interior's Bureau of Safety and Environmental Enforcement, and any other federal or state government agency which may require its services and personnel."
4/8/2015,Aerial Media Systems,Photo/Film,"DJI Phantom 2 Vision+, DJI Inspire 1, DJI S900,d RF–70",New Jersey,"Video, images, and surveying of persons and property for commercial broadcast."
9/25/2014,Aerial MOB,Photo/Film,"HexaCrafter HC-1100, Aeronavics SkyJib 8 Heavy Lifter, Aerial MOB Discovery Pro Light Lifter, Aerial MOB Halo 8 Heavy Lifter1, DJI Phantom 2",California,Closed-set filming. (Amended 2/3/15 and 4/30/15)
6/5/2015,Aerial Oklahoma,Photo/Film,DJI Inspire 1,Oklahoma,Aerial photography and surveying.
4/24/2015,Aerial Optics,"Photo/Film, Construction, Real Estate","DJI F550, a custom built 450mm waterproof quad copter",Massachusetts,"Event photography/videography, real estate photography, aerial filmmaking and photography, unmanned aerial sightseeing, construction site inspections and monitoring, building inspections, UAS training and safe operations."
5/22/2015,Aerial Photography and Survey LLC,"Agriculture, Conservation, Construction",3D Robotics Iris+,Oregon,"Operations for the agriculture, aerial photography, construction, inspection, surveying, and wildlife preservation industries."
5/19/2015,Aerial Precision Survey,Agriculture,"3D Robotics Inc. Aero−M, 3D Robotics X8+",Idaho,Precision photogrammetry and crop scouting.
3/20/2015,"Aerial Production Services, Inc.",Photo/Film,DJI Phantom 2,Colorado,Aerial photography and inspection.
5/22/2015,"Aerial Productions and Imaging, LLC",Photo/Film,"DJI Phantom 2, Thrust UAV Freeflight x4",Idaho,Aerial photography.
4/23/2015,"Aerial Pros, LLC",Utilities/Energy/Infrastructure,"TBS Discovery Pro, DJI Inspire, DJI S1000",New Jersey,"Tall structure inspections including but not limited to smoke stacks, flare stacks, cooling towers, storage silos, electrical transmission towers, cell towers, unoccupied and unmanned structures, and the like."
5/22/2015,"Aerial Scout Ag Ops Support, LLC",Agriculture,senseFly eBee,California,Precision agriculture and remote sensing.
5/21/2015,"Aerial Services, Inc","Utilities/Energy/Infrastructure, Government Contracting, Agriculture, Scientific Studies","senseFly eBee, senseFly eBee Ag",--,"Aerial acquisitions and research in support of government entities, agriculture, scientific studies, railroad industry, oil and gas industries, and forestry."
4/21/2015,"Aerial Video and Imagery, LLC","Photo/Film, Real Estate, Agriculture","DJI Phantom 2 Vision+, DJI Phantom 2, DJI S-900",Virginia,"Private property mapping and surveys for marketing/advertising, land development, insurance claims, forestry, agriculture, golf course planning, construction, real estate, inspections, land appraisal, wildlife management, resort/recreation, vineyard and winery."
6/1/2015,"Aerial Works, Inc",Utilities/Energy/Infrastructure,"DJI Spreading Wings S800, DJI Inspire 1",Florida,Visual inspections of telecommunications towers and power lines and engineering research with local universities addressing a number of small UAS concerns
6/30/2015,"Aerialspecs, Inc.",Utilities/Energy/Infrastructure,"Lockheed Martin Indago, DJI Phantom 3, DJI Inspire 1, DJI S900, DJI S1000, SenseFly eBee Ag",Michigan,"Remote visual line-of-sight videography, data collection, sensing, and visual inspection of the easements, tower, nacelle, blades, and hub in multiple EM spectrums for the purposes of routine inspection, damage verification, restoration planning, 3D site mapping, and flood and drainage monitoring of easements on privately owned farms. Aerialspecs, Inc. will also experiment with probes that can take measurements on engineering points on wind turbine blades. These measurements will typically be impedance measurement to validate that blade lightning arrester systems are in good operating condition."
3/26/2015,"Aerius Flight, LLC",Agriculture,"Walkera Scout X4, DJI S900",Michigan,"Collection of actionable data for use by agronomists, crop consultants, and forestry professionals."
1/23/2015,AeroCine,Photo/Film,"AeroCine Kopterworx Hammer X12, DJI S1000, Aerobo",California,Aerial filming. (Amended 4/29/15)
6/16/2015,"Aerodrone, LLC",Photo/Film,DJI Phantom 2,Florida,Aerial data collection.
5/13/2015,AeroHarvest LLC,Agriculture,E384,California,Precision photogrammetry and crop scouting at the resolutions necessary for precision agriculture.
4/17/2015,"AeroLogix Consulting, Inc.",Manufacturer,AeroLogix GeoStar,Minnesota,"Aerial survey to produce imagery and terrain modeling products useful in applications ranging from civil engineering, land and water resources management, environmental research, disaster response, agriculture, and many other useful applications."
5/22/2015,"AeroView Services, LLC",Photo/Film,Trimble UX5,Iowa,Aerial photography and precision survey.
5/11/2015,"AeroVironment, Inc.","Manufacturer, Utilities/Energy/Infrastructure",AeroVironment Shrike,California,Inspecting fixed infrastructures in controlled environments.
4/27/2015,"AeroVironment, Inc.","Manufacturer, Utilities/Energy/Infrastructure",AeroVironment Shrike,California,Inspecting fixed infrastructures in controlled environments.
4/3/2015,"AeroVironment, Inc.",Manufacturer,Puma AE DDL,California,"Agriculture, aerial survey, and patrol operations."
4/3/2015,"AeroVironment, Inc.",Manufacturer,AeroVironment Puma AE DDL,California,"Agriculture, aerial survey, and patrol operations."
3/24/2015,"Aeryon Labs, Inc",Manufacturer,Aeryon SkyRanger,--,"Market research, aerial surveys, mapping and inspections."
3/13/2015,Aetos Group Inc.,Utilities/Energy/Infrastructure,"Aeryon Scout, Aeryon SkyRanger",Michigan,"Aerial inspection of plant infrastructure, to include flare stacks, elevated pipelines, tanks and columns, and environmental monitoring in the petrochemical industry."
5/14/2015,"Ag Tech Enterprises, Inc.",Agriculture,PrecisionHawk Inc. Hawkeye Mk−111,California,"Aerial surveys, including in precision agriculture."
5/1/2015,"AgEagle, LLC",Agriculture,2015 AgEagle,Kansas,"Inspection of; mapping and surveying tasks in precision agriculture, crop scouting, crop insurance, hazard mitigation and in support of Federal Crop Management programs."
5/14/2015,"Agri Tech Systems, LLC","Agriculture, Utilities/Energy/Infrastructure","Pulse Aerospace, PA-01 Vapor",Iowa,"Research on the applicability of sUAS for field mapping, prescriptive chemical application mapping, comprehensive crop analysis, field moisture mapping, collision avoidance, cell tower inspection, pipeline inspection and power line inspection."
4/24/2015,"AgScan, Inc","Agriculture, Construction",Draganflyer X4- ES,Pennsylvania,"Commercially operate over certain rural areas of the United States for the purpose of conducting aerial acquisitions and research, remote gathering of agricultural data, infrastructure management 5 assessments, search and rescue operations, and reconnaissance in support of disaster or emergency situations."
5/13/2015,AgWorx Inc,"Agriculture, Conservation, Scientific Studies",PrecisionHawk Hawkeye Mk-III,North Carolina,"Precision agriculture and aerial imaging, including areas of agriculture, scientific studies, wildlife monitoring, and forestry."
4/3/2015,"AIG PC Global Services, Inc.",Insurance,"Hawkeye Lancaster MK-III, 3DR IRIS+, DJI Phantom 2 Vision, SenseFly eBee",New York,Research and development.
5/21/2015,"Aileron, LLC",Photo/Film,DJI S900,--,"Aerial imagery and filming in the motion picture, video, photography, and television industries."
5/14/2015,"Air-Mods Flight Training Center, Inc.",Education,"Hubsan X4, DJI Phantom 2, DJI Inspire 1",New Jersey,"Aerial video and/or photography, inspection, and training."
